SN,StreamType,Lat,Long,Timestamp,Level
173143,Trash,40.03298408,-75.04863822,6/17/2014 16:41,GREEN
174228,Trash,40.03377125,-75.04663563,6/17/2014 16:40,GREEN
171883,Trash,39.94290952,-75.16012682,6/17/2014 16:37,GREEN
174307,Trash,39.9861,-75.1314,6/17/2014 16:36,RED
172129,Trash,39.94371104,-75.15857551,6/17/2014 16:36,GREEN
174301,Trash,40.0348,-75.0447,6/17/2014 16:34,YELLOW
174461,Trash,40.03553286,-75.0433088,6/17/2014 16:33,RED
174225,Trash,40.03592732,-75.04255172,6/17/2014 16:31,YELLOW
173171,Trash,40.036,-75.0424,6/17/2014 16:30,GREEN
173142,Trash,40.03639036,-75.04166437,6/17/2014 16:29,YELLOW
1400016,Trash,39.9951,-75.1395,6/17/2014 16:13,RED
172073,Trash,39.955,-75.168,6/17/2014 16:12,YELLOW
171938,Trash,39.9416,-75.1492,6/17/2014 15:57,GREEN
171980,Trash,39.94154803,-75.14926313,6/17/2014 15:56,GREEN
172056,Trash,39.9415,-75.1491,6/17/2014 15:55,GREEN
171909,Trash,39.9418,-75.1506,6/17/2014 15:40,GREEN
173286,Trash,39.9242,-75.1694,6/17/2014 15:34,GREEN
172073,Trash,39.955,-75.168,6/17/2014 15:33,YELLOW
174865,Trash,39.986,-75.1317,6/17/2014 15:05,GREEN
171758,Trash,39.9520373,-75.159109,6/17/2014 15:03,GREEN
174537,Trash,39.95831234,-75.22507125,6/17/2014 14:55,GREEN
174247,Trash,40.03722321,-75.04171225,6/17/2014 14:48,RED
172073,Trash,39.955,-75.168,6/17/2014 14:39,YELLOW
172073,Trash,39.955,-75.168,6/17/2014 14:34,YELLOW
171790,Trash,39.95134,-75.16735,6/17/2014 14:31,GREEN
174247,Trash,40.03722321,-75.04171225,6/17/2014 14:28,GREEN
174222,Trash,40.0341,-75.046,6/17/2014 14:21,YELLOW
173158,Trash,40.0358,-75.1748,6/17/2014 14:21,YELLOW
171927,Trash,39.9418,-75.1508,6/17/2014 14:14,GREEN
171907,Trash,39.9418,-75.1508,6/17/2014 14:14,GREEN
174222,Trash,40.0341,-75.046,6/17/2014 13:53,YELLOW
172073,Trash,39.955,-75.168,6/17/2014 13:30,YELLOW
172144,Trash,39.94344113,-75.1488502,6/17/2014 13:22,GREEN
173133,Trash,40.0262,-75.2256,6/17/2014 12:48,GREEN
172073,Trash,39.955,-75.168,6/17/2014 12:47,YELLOW
173193,Trash,40.0259,-75.2248,6/17/2014 12:47,GREEN
174564,Trash,39.9269,-75.1692,6/17/2014 12:43,RED
173212,Trash,40.0251,-75.2226,6/17/2014 12:43,GREEN
173185,Trash,40.0246,-75.2216,6/17/2014 12:40,GREEN
173247,Trash,40.0234,-75.2199,6/17/2014 12:38,GREEN
173176,Trash,40.0233,-75.2197,6/17/2014 12:36,GREEN
173248,Trash,40.0227,-75.2178,6/17/2014 12:33,GREEN
174292,Trash,39.9871,-75.1305,6/17/2014 12:25,GREEN
171988,Trash,39.9537,-75.1685,6/17/2014 12:20,GREEN
1401950,Trash,40.0082,-75.2113,6/17/2014 12:16,GREEN
1401925,Trash,40.00706163,-75.21335475,6/17/2014 12:13,GREEN
172142,Trash,39.94587403,-75.15624828,6/17/2014 12:12,GREEN
171732,Trash,39.94930406,-75.16440134,6/17/2014 12:10,GREEN
1401945,Trash,39.997,-75.23514292,6/17/2014 12:08,GREEN
172041,Trash,39.9551,-75.1663,6/17/2014 12:07,GREEN
171828,Trash,39.9537,-75.1649,6/17/2014 12:03,GREEN
171640,Trash,39.95376708,-75.16656364,6/17/2014 11:55,GREEN
171628,Trash,39.95018258,-75.16420158,6/17/2014 11:46,GREEN
1401960,Trash,39.98671369,-75.23206053,6/17/2014 11:43,YELLOW
