SN,Station,StreamType,Customer,Desc_,Status,Lat,Long,LAT,LNG
171610.0,yes,Trash,Philadelphia City of,Se Broad/Lombard,In Service,39.94457,-75.16511,39.944570000000056,-75.16510999999997
171611.0,yes,Trash,Philadelphia City of,Nw Broad/Lombard,In Service,39.9448,-75.1654,39.94480000000004,-75.16539999999998
171612.0,yes,Trash,Philadelphia City of,Nw Broad/South,In Service,39.94376,-75.16563,39.943760000000054,-75.16562999999996
171613.0,yes,Trash,Philadelphia City of,Nw Broad/Chestnut,In Service,39.9509434564,-75.1640288638,39.95094345600006,-75.16402886399999
171614.0,yes,Trash,Philadelphia City of,Sw Broad/Bainbridge,In Service,39.94272,-75.1658370847,39.942720000000065,-75.16583708499996
171615.0,yes,Trash,Philadelphia City of,Se 19th/Spring Garden,In Service,39.9633,-75.1693,39.96330000000006,-75.16929999999996
171616.0,no,Trash,Philadelphia City of,Se Broad/Penn,In Service,39.9515590003,-75.1634940562,39.95155900000003,-75.16349405599993
171617.0,yes,Trash,Philadelphia City of,Sw Broad/Christian,In Service,39.94001,-75.16652,39.94001000000003,-75.16651999999993
171618.0,yes,Trash,Philadelphia City of,Nw Broad/Walnut,In Service,39.9494482949,-75.1643670575,39.949448295000025,-75.16436705799998
171619.0,yes,Trash,Philadelphia City of,Nw Broad/Spruce,In Service,39.9470621452,-75.1648848981,39.947062145000075,-75.16488489799997
171620.0,yes,Trash,Philadelphia City of,Se Broad/Pine,In Service,39.9454847475,-75.1649940516,39.94548474700008,-75.16499405199994
171621.0,no,Trash,Philadelphia City of,Nw 12th/Market,In Service,39.9519822455,-75.1599751019,39.95198224500007,-75.15997510199998
171622.0,yes,Trash,Philadelphia City of,Se 18th/Spring Garden,In Service,39.9631264464,-75.1678097374,39.96312644600005,-75.16780973699997
171623.0,yes,Trash,Philadelphia City of,Ne 15th/ Spring Garden,In Service,39.96281,-75.16297,39.96281000000005,-75.16296999999997
171624.0,yes,Trash,Philadelphia City of,Se Broad/Christian,In Service,39.93991,-75.16612,39.939910000000054,-75.16611999999998
171625.0,yes,Trash,Philadelphia City of,Nw Broad/Carpenter,In Service,39.93914,-75.16671,39.939140000000066,-75.16670999999997
171626.0,yes,Trash,Philadelphia City of,Se Broad/Bainbridge,In Service,39.94268,-75.16557,39.94268000000005,-75.16556999999995
171627.0,yes,Trash,Philadelphia City of,Sw 17th/ Spring Garden,In Service,39.9629,-75.16616,39.96290000000005,-75.16615999999993
