L_HUNDRED,STNAME,SEG_ID,CustCount,LAT,LNG
900,N CARLISLE ST,420231,1,39.97062364640606,-75.16049964195106
900,N 15TH ST,421532,3,39.970728313753355,-75.16133896946145
1500,POPLAR ST,421555,1,39.970534987923486,-75.16219467328442
1500,PARRISH ST,421523,1,39.96931224102582,-75.16246140695789
1600,RIDGE AVE,421457,1,39.96929668160063,-75.16344554134828
800,LELAND ST,421544,3,39.96962883690038,-75.165101462291
1600,FRANCIS ST,421553,3,39.96913911814194,-75.16482704230953
1600,PARRISH ST,421490,11,39.96896906535219,-75.1641553299531
1600,RENO ST,421489,2,39.968742877879635,-75.1641978692018
1600,OGDEN ST,422104,1,39.97008712497762,-75.16375632904148
1700,FRANCIS ST,421554,4,39.96889645069361,-75.16526376587629
1700,CAMBRIDGE ST,421587,3,39.97151742037062,-75.16519624282971
900,N 17TH ST,421564,1,39.97112194145515,-75.16448737752572
1700,POPLAR ST,421558,1,39.97087276333001,-75.16493501830784
1600,POPLAR ST,421559,1,39.970729143634614,-75.1637699854713
1400,BROWN ST,422019,1,39.96808071213383,-75.16166972256136
1500,SWAIN ST,421470,4,39.96770677871423,-75.16281440669627
700,N 16TH ST,421485,11,39.96805295496754,-75.16354235435792
1600,BROWN ST,421472,3,39.968402570287545,-75.16427306841571
1600,SWAIN ST,421474,6,39.967874191239595,-75.16415516964987
700,N 17TH ST,421479,5,39.96824882871304,-75.16511522466152
700,N 16TH ST,421481,3,39.96767242286038,-75.16362667100603
1600,FAIRMOUNT AVE,421449,4,39.96714652634728,-75.1645479310911
700,N 18TH ST,421494,1,39.96777055406272,-75.16683370684216
800,N 17TH ST,421492,6,39.96867085823049,-75.16502099891073
1700,BROWN ST,421471,1,39.96854747017638,-75.16543820205663
1700,FRANCIS ST,421502,1,39.96865794554495,-75.16569870253976
800,N 16TH ST,421488,5,39.96847458547359,-75.16344994112983
1600,OLIVE ST,421475,4,39.96755422838597,-75.16422536054212
1800,FAIRMOUNT AVE,421452,2,39.96720012092008,-75.16722176748642
1700,NORTH ST,420379,6,39.96644311273379,-75.1660665394673
600,N 18TH ST,421441,1,39.966881432135885,-75.16702897439261
1600,NORTH ST,421429,6,39.966276623459045,-75.16473515347487
600,N 16TH ST,421436,2,39.966365630003395,-75.1639146633822
1500,NORTH ST,421430,1,39.96613993834026,-75.16361763190184
600,N 16TH ST,421437,2,39.9658740207717,-75.16402198189404
1600,WALLACE ST,420409,3,39.96566480958463,-75.16487200754797
600,N 18TH ST,421442,2,39.96626633681915,-75.16716152965098
1600,CALLOWHILL ST,420702,1,39.96011883171108,-75.16608427658328
500,N 19TH ST,422975,1,39.9628253348124,-75.16952300179969
1800,BRANDYWINE ST,420515,2,39.96404563542148,-75.16845570014927
500,N 19TH ST,420502,3,39.96428940714791,-75.16920578828817
1900,WILCOX ST,420488,1,39.964530203372,-75.1699634968692
1900,SPRING GARDEN ST,420554,1,39.96348767111113,-75.17019674018667
1900,NECTARINE ST,420587,1,39.96307740707979,-75.17028074113841
1900,BRANDYWINE ST,420503,8,39.9642549853665,-75.1700173687975
500,N 20TH ST,420493,2,39.96449577625902,-75.17077508104039
2100,MOUNT VERNON ST,420402,11,39.96607303812077,-75.17319628009335
1900,MOUNT VERNON ST,420418,7,39.965571056627,-75.16974419308026
2100,GREEN ST,420440,14,39.965325015603895,-75.17336324800677
1900,GREEN ST,420463,10,39.96488775856767,-75.16989423050323
2000,GREEN ST,420453,10,39.96510647460524,-75.17162318404212
2000,BRANDYWINE ST,420494,22,39.96447203374636,-75.17175681934748
2100,BRANDYWINE ST,420481,2,39.9646890058397,-75.17350449006163
2000,SPRING GARDEN ST,420542,5,39.96370098978227,-75.17193158254882
2000,MOUNT VERNON ST,420410,12,39.96578814495094,-75.17146698765677
1300,N 15TH ST,420107,2,39.97363305987681,-75.16071647746962
1300,N 16TH ST,521303,1,39.974637095434154,-75.16210350798387
1300,N 15TH ST,521306,2,39.974434423340405,-75.16053195881798
1500,W THOMPSON ST,420108,16,39.973536415400915,-75.16154678936645
1200,N CARLISLE ST,420147,1,39.97291216398031,-75.15999250368937
1200,N 15TH ST,422323,1,39.973218828208196,-75.16081071728644
1400,W GIRARD AVE,420197,3,39.97163921176685,-75.1607073972914
1300,N 16TH ST,420073,1,39.974199602026594,-75.1622068914785
900,N 15TH ST,420217,2,39.971355745467676,-75.16119857258322
1500,W STILES ST,420141,2,39.97270877397146,-75.16172246707468
1500,W FLORA ST,420162,2,39.9723485368138,-75.16180751723535
1500,W GIRARD AVE,420194,4,39.971790299421826,-75.16191561792377
1500,CAMBRIDGE ST,420218,1,39.97111923609668,-75.16206168574708
1400,CAMBRIDGE ST,420221,6,39.97096863322538,-75.16085420895187
1600,W THOMPSON ST,420096,2,39.97374223427402,-75.16311080253992
1200,N 17TH ST,420132,1,39.97321472372432,-75.16403162732065
1600,W STILES ST,420137,4,39.9729132197345,-75.16329012674566
1700,W THOMPSON ST,420088,7,39.973942865735346,-75.16467875882674
1200,N 18TH ST,420100,1,39.97382733582109,-75.16551505516719
1800,SEYBERT ST,420055,2,39.974518030487474,-75.1661706124496
1800,INGERSOLL ST,521290,2,39.97478258197393,-75.16611282564452
1300,N 19TH ST,521263,1,39.97501865945963,-75.16687433389097
1900,INGERSOLL ST,521289,1,39.97496546712764,-75.16752469064501
1200,N 18TH ST,420127,2,39.973418629495725,-75.1656099749356
1900,W GIRARD AVE,421601,7,39.972606166685615,-75.16821021886699
1800,W STILES ST,420126,1,39.9733431684638,-75.16668084044863
1800,W GIRARD AVE,421602,1,39.972445885880056,-75.16698273080344
1700,INGERSOLL ST,521295,1,39.97465123353534,-75.16451823645788
900,N 19TH ST,421592,2,39.97227562454131,-75.16747394183055
1700,W GIRARD AVE,421605,3,39.97219670317058,-75.1650672853254
1800,GINNODO ST,421570,1,39.97180118752268,-75.16670798269726
800,N UBER ST,421608,9,39.970706026474375,-75.16861633847283
